      x1        x2         z
	-1.4482   -0.1999   -0.0441
    0.6109    1.9573    0.0293
    0.6109   -1.9764   -0.0242
         0    1.0199    0.6245
    0.9437    0.1830    0.1501
    1.3614   -1.4458   -0.0354
   -1.7202    1.5012    0.0106
   -0.1989    1.9573    0.0387
    1.3614   -0.3841   -0.1078
   -0.7881    1.7047    0.0630
    1.5867    1.9573    0.0035
    0.1872    0.3689    0.6195
   -0.9249    1.8143    0.0293
   -0.7881         0         0
    2.1163         0         0
   -0.9249    1.9573    0.0175
   -1.4482    0.1830    0.0467
    0.6109    0.8794    0.4657
    0.8010    1.2694    0.2184
    0.9437   -1.1440   -0.2070
    0.1872    1.0199    0.5244
    1.3614   -0.1999   -0.0583
    0.1872   -0.6568   -0.7959
    1.5867   -1.8447   -0.0052
   -0.4071   -1.9764   -0.0328
   -0.6339         0         0
    1.3085    1.2694    0.0698
   -1.9066   -1.8447   -0.0018
    0.6109    0.5490    0.5500
         0    0.5490    0.7202
   -1.7202    0.3689    0.0323
   -1.9888    0.5490    0.0160
   -1.0969    0.3689    0.1971
    2.1163   -0.6568   -0.0085
   -1.9888   -1.9764   -0.0007
   -1.9888   -1.1440   -0.0089
   -1.9888    0.3689    0.0123
   -0.4071   -1.0446   -0.4584
    0.9437   -1.8447   -0.0288
   -1.9888   -0.8098   -0.0130
    0.8010    1.7047    0.0593
    2.1163    1.2694    0.0042
   -1.9066    0.5490    0.0207
    0.9437         0         0
    1.5867   -0.1999   -0.0278
   -1.0969   -1.9764   -0.0111
   -0.9249   -1.8447   -0.0259
    0.6109   -1.4458   -0.1848
    0.9437   -0.6568   -0.2966
    1.3614   -0.8098   -0.1069
    0.9437    1.5012    0.0808
   -1.9066   -0.3841   -0.0156
    1.9191   -1.0446   -0.0132
   -1.0969   -0.8098   -0.2242
   -1.9888    1.9573    0.0008
    0.8010    0.3689    0.3284
   -1.7202    1.8143    0.0038
   -0.9249    0.3689    0.2745
    0.8010   -0.8098   -0.4050
   -0.4071   -0.3841   -0.5991
    1.5867   -1.9764   -0.0030
   -1.7202   -1.7458   -0.0051
   -0.1989    0.5490    0.7667
    0.4345    1.0199    0.5248
         0    1.5012    0.2108
    2.1163   -0.1999   -0.0045
   -1.9066    1.8143    0.0019
    1.9191    1.0199    0.0161
    0.6109    1.8143    0.0491
    1.3614    1.5012    0.0334
   -0.1989    1.5012    0.2101
    1.3614   -1.1440   -0.0789
    0.6109   -1.1440   -0.3076
   -0.1989    1.0199    0.6151
    2.1163    1.7047    0.0013
   -0.9249    0.1830    0.1554
   -1.9888    1.7047    0.0019
   -1.4482   -1.1440   -0.0558
    1.5867    1.5012    0.0158
    1.5867         0         0
    1.3614   -1.8447   -0.0106
    1.3085    0.8794    0.1308
   -0.6339   -1.7458   -0.0588
    0.1872   -1.0446   -0.5073
   -1.0969    1.5012    0.0583
    2.1163   -1.4458   -0.0030
   -0.1989         0         0
   -0.7881   -1.7458   -0.0478
   -1.4482    0.3689    0.0776
    2.1163   -0.8098   -0.0078
    1.9191    1.9573    0.0009
   -0.9249    1.0199    0.2576
   -0.4071    0.1830    0.2799
   -0.6339    0.3689    0.4556
    1.3614         0         0
   -1.4482   -0.6568   -0.0893
    1.3085         0         0
    2.1163    0.8794    0.0089
   -1.0969    1.0199    0.1716
    0.9437    0.3689    0.2392
    0.4345    0.8794    0.6211
