      x1        x2         z
	-1.0969    1.7047    0.0315
    1.9191   -0.8098   -0.0181
    1.9191   -1.7458   -0.0024
    0.6109    0.3689    0.4371
    1.3085   -0.1999   -0.0723
    0.9437    0.5490    0.3350
    0.9437   -1.7458   -0.0358
   -0.4071    1.5012    0.1896
   -1.9066   -1.1440   -0.0129
    0.6109   -0.6568   -0.5616
   -1.7202    0.5490    0.0411
   -0.6339    0.8794    0.5182
   -1.0969   -0.1999   -0.1214
    1.9191    1.8143    0.0017
   -0.9249    0.8794    0.2746
   -1.7202    1.2694    0.0187
    0.1872   -1.4458   -0.2227
    1.5867   -0.8098   -0.0614
   -0.1989    0.1830    0.3417
   -0.9249    0.5490    0.3118
    0.4345   -1.0446   -0.4424
    0.8010    1.8143    0.0410
   -1.9888         0         0
   -0.7881   -0.8098   -0.3898
    1.9191    0.5490    0.0199
    1.3614   -1.9764   -0.0060
   -1.4482    1.9573    0.0048
    0.1872   -1.1440   -0.4405
    1.9191    1.2694    0.0097
    1.5867   -1.0446   -0.0446
    0.4345    1.2694    0.2877
   -0.9249    1.2694    0.1516
    0.1872   -1.9764   -0.0368
   -1.0969   -1.4458   -0.0675
   -1.9066    1.5012    0.0060
    0.4345   -1.9764   -0.0302
    0.9437   -1.0446   -0.2527
    1.3614    1.7047    0.0179
    0.1872    1.7047    0.1052
    0.8010    0.5490    0.4213
         0    1.9573    0.0396
   -1.7202   -0.6568   -0.0452
   -1.9888   -1.4458   -0.0046
   -1.9066    1.2694    0.0106
   -0.4071    1.9573    0.0334
    0.6109   -0.1999   -0.2705
   -1.9066   -0.8098   -0.0208
         0    0.3689    0.6299
   -1.9066   -1.9764   -0.0009
    1.9191   -0.6568   -0.0212
    0.4345    1.7047    0.0969
    2.1163   -1.0446   -0.0071
         0    1.8143    0.0682
   -0.6339    1.9573    0.0287
    2.1163   -1.7458   -0.0010
    1.9191   -1.4458   -0.0063
   -0.9249   -0.8098   -0.3279
   -0.4071   -0.1999   -0.3303
         0   -1.7458   -0.0964
   -1.9066    0.1830    0.0099
   -1.0969   -1.1440   -0.1516
    0.1872    0.1830    0.3638
    0.9437    1.8143    0.0269
   -1.4482    1.5012    0.0282
   -0.7881   -1.4458   -0.1364
    0.1872    1.9573    0.0372
   -0.9249   -0.1999   -0.1523
    1.3085   -1.1440   -0.0927
         0    0.1830    0.3464
    1.9191    0.1830    0.0093
    0.8010   -1.7458   -0.0467
   -1.7202   -1.4458   -0.0130
    1.5867    1.8143    0.0059
    1.3614    0.3689    0.0922
    0.4345    0.5490    0.6684
   -1.0969   -1.7458   -0.0262
    1.9191   -0.1999   -0.0105
    0.8010   -1.4458   -0.1183
    0.9437    1.7047    0.0455
    1.9191    1.7047    0.0029
   -0.4071   -1.8447   -0.0563
    1.3085    0.5490    0.1282
    1.3614    1.8143    0.0106
    0.8010    1.9573    0.0232
   -0.7881    1.2694    0.1848
    0.9437    1.2694    0.1680
    2.1163    0.1830    0.0043
    1.5867    1.0199    0.0474
   -1.0969   -1.8447   -0.0191
   -1.7202    0.8794    0.0355
    0.4345   -1.7458   -0.0726
   -0.7881   -1.1440   -0.2498
   -0.7881    1.5012    0.1222
   -0.7881    0.3689    0.3541
   -1.9066    0.3689    0.0179
    0.6109   -1.8447   -0.0483
   -0.9249    1.7047    0.0495
    0.6109         0         0
         0   -1.8447   -0.0686
   -0.7881   -0.1999   -0.2148
   -1.7202    1.9573    0.0019
